HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
40	ABCB1	ATP binding cassette subfamily B member 1	Approved	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20	7q21.12	M14758	NM_000927	CD	CD molecules	471
74	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	Approved		EST157481, MXR, BCRP, ABCP, CD338	4q22.1	AF103796	NM_004827	CD	CD molecules	471
2707	ACE	angiotensin I converting enzyme	Approved	DCP1	ACE1, CD143	17q23.3	J04144		CD	CD molecules	471
4035	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	Approved	FY, DARC	CCBP1, GPD, Dfy, CD234	1q23.2	U01839	NM_002036	CD	CD molecules	471
188	ADAM10	ADAM metallopeptidase domain 10	Approved		kuz, MADM, HsT18717, CD156c	15q21.3	AF009615	NM_001110	CD	CD molecules	471
195	ADAM17	ADAM metallopeptidase domain 17	Approved	TACE	cSVP, CD156B	2p25.1	U69611		CD	CD molecules	471
215	ADAM8	ADAM metallopeptidase domain 8	Approved		CD156, MS2, CD156a	10q26.3	D26579	NM_001109	CD	CD molecules	471
3337	ADGRE2	adhesion G protein-coupled receptor E2	Approved	EMR2	CD312	19p13.12	AF114491		CD	CD molecules	471
1711	ADGRE5	adhesion G protein-coupled receptor E5	Approved	CD97	TM7LN1	19p13.12		NM_078481	CD	CD molecules	471
400	ALCAM	activated leukocyte cell adhesion molecule	Approved		CD166, MEMD	3q13.11	AK054632	NM_001627	CD	CD molecules	471
427	ALK	ALK receptor tyrosine kinase	Approved		CD246	2p23.2-p23.1	D45915	NM_004304	CD	CD molecules	471
500	ANPEP	alanyl aminopeptidase, membrane	Approved	CD13, PEPN	LAP1, gp150, p150	15q26.1	M22324		CD	CD molecules	471
723	ART1	ADP-ribosyltransferase 1	Approved		ART2, CD296	11p15.4	S74683	NM_004314	CD	CD molecules	471
726	ART4	ADP-ribosyltransferase 4 (Dombrock blood group)	Approved	DO	DOK1, CD297	12p12.3	X95826	NM_021071	CD	CD molecules	471
806	ATP1B3	ATPase Na+/K+ transporting subunit beta 3	Approved		FLJ29027, CD298	3q23	BC011835	NM_001679	CD	CD molecules	471
921	B3GAT1	beta-1,3-glucuronyltransferase 1	Approved	CD57, LEU7	GlcAT-P, HNK-1, NK-1	11q25	AB029396	NM_018644	CD	CD molecules	471
6722	BCAM	basal cell adhesion molecule (Lutheran blood group)	Approved	LU	CD239	19q13.32	X83425	NM_005581	CD	CD molecules	471
1076	BMPR1A	bone morphogenetic protein receptor type 1A	Approved	ACVRLK3	ALK3, CD292	10q23.2	BC028383	NM_004329	CD	CD molecules	471
1077	BMPR1B	bone morphogenetic protein receptor type 1B	Approved		ALK6, CDw293	4q22.3	D89675	NM_001203	CD	CD molecules	471
1116	BSG	basigin (Ok blood group)	Approved	OK	EMMPRIN, CD147	19p13.3	L10240	NM_001728	CD	CD molecules	471
1118	BST1	bone marrow stromal cell antigen 1	Approved		CD157	4p15.32	D21878	NM_004334	CD	CD molecules	471
1119	BST2	bone marrow stromal cell antigen 2	Approved		CD317, tetherin	19p13.11		NM_004335	CD	CD molecules	471
21087	BTLA	B and T lymphocyte associated	Approved		BTLA1, CD272	3q13.2	AY293286	NM_181780	CD	CD molecules	471
1138	BTN3A1	butyrophilin subfamily 3 member A1	Approved		BT3.1, BTF5, CD277, BTN3.1	6p22.2	U90552		CD	CD molecules	471
1338	C5AR1	complement C5a receptor 1	Approved	C5R1	C5A, C5AR, CD88	19q13.32		NM_001736	CD	CD molecules	471
1602	CCR1	C-C motif chemokine receptor 1	Approved	SCYAR1, CMKBR1	CKR-1, MIP1aR, CD191	3p21.31		NM_001295	CD	CD molecules	471
1603	CCR2	C-C motif chemokine receptor 2	Approved	CMKBR2	CC-CKR-2, CKR2, MCP-1-R, CD192, FLJ78302	3p21.31		NM_000647	CD	CD molecules	471
1604	CCR3	C-C motif chemokine receptor 3	Approved	CMKBR3	CC-CKR-3, CKR3, CD193	3p21.31	AF247361		CD	CD molecules	471
1605	CCR4	C-C motif chemokine receptor 4	Approved		CC-CKR-4, CMKBR4, CKR4, k5-5, ChemR13, CD194	3p22.3	X85740		CD	CD molecules	471
1606	CCR5	C-C motif chemokine receptor 5 (gene/pseudogene)	Approved	CMKBR5	CKR-5, CC-CKR-5, CKR5, CD195, IDDM22	3p21.31		NM_000579	CD	CD molecules	471
1607	CCR6	C-C motif chemokine receptor 6	Approved	STRL22	CKR-L3, GPR-CY4, CMKBR6, GPR29, DRY-6, DCR2, BN-1, CD196	6q27	U68030		CD	CD molecules	471
1608	CCR7	C-C motif chemokine receptor 7	Approved	CMKBR7, EBI1	BLR2, CDw197, CD197	17q21.2			CD	CD molecules	471
1609	CCR8	C-C motif chemokine receptor 8	Approved	CMKBRL2, CMKBR8	CY6, TER1, CKR-L1, GPR-CY6, CDw198	3p22.1	D49919	NM_005201	CD	CD molecules	471
1610	CCR9	C-C motif chemokine receptor 9	Approved	GPR28	GPR-9-6, CDw199	3p21.31	AJ132337		CD	CD molecules	471
5949	CD101	CD101 molecule	Approved	IGSF2	V7	1p13.1	Z33642	NM_004258	CD	CD molecules	471
21685	CD109	CD109 molecule	Approved		FLJ38569, DKFZp762L1111, CPAMD7	6q13	AF410459	NM_133493	CD	CD molecules	471
1628	CD14	CD14 molecule	Approved			5q31.3		NM_000591	CD	CD molecules	471
1630	CD151	CD151 molecule (Raph blood group)	Approved		SFA-1, PETA-3, TSPAN24, RAPH	11p15.5	AL161965, BC013302, D29963	NM_004357	CD	CD molecules	471
17013	CD160	CD160 molecule	Approved		BY55, NK1, NK28	1q21.1	AF060981	NM_007053	CD	CD molecules	471
1631	CD163	CD163 molecule	Approved		M130, MM130, SCARI1	12p13.31	Z22968	NM_004244, NM_203416	CD	CD molecules	471
1632	CD164	CD164 molecule	Approved		MUC-24, MGC-24, DFNA66	6q21	AF106518	NM_006016	CD	CD molecules	471
30072	CD177	CD177 molecule	Approved		PRV1, HNA2A, NB1	19q13.31	AF146747	NM_020406	CD	CD molecules	471
6726	CD180	CD180 molecule	Approved	LY64	RP105, Ly78	5q12.3	D83597	NM_005582	CD	CD molecules	471
1633	CD19	CD19 molecule	Approved			16p11.2			CD	CD molecules	471
1634	CD1A	CD1a molecule	Approved	CD1		1q23.1	M28825	NM_001763	CD	CD molecules	471
1635	CD1B	CD1b molecule	Approved	CD1		1q23.1	M28826	NM_001764	CD	CD molecules	471
1636	CD1C	CD1c molecule	Approved	CD1		1q23.1	M28827	NM_001765	CD	CD molecules	471
1637	CD1D	CD1d molecule	Approved			1q23.1	BC027926	NM_001766	CD	CD molecules	471
1638	CD1E	CD1e molecule	Approved			1q23.1	AJ289111	NM_030893	CD	CD molecules	471
1639	CD2	CD2 molecule	Approved	SRBC		1p13.1	BC033583	NM_001767	CD	CD molecules	471
7203	CD200	CD200 molecule	Approved	MOX1, MOX2	MRC, OX-2	3q13.2			CD	CD molecules	471
17935	CD207	CD207 molecule	Approved		Langerin, CLEC4K	2p13.3	AJ242859	NM_015717	CD	CD molecules	471
1641	CD209	CD209 molecule	Approved		DC-SIGN, CDSIGN, DC-SIGN1, CLEC4L	19p13.2	M98457	NM_021155	CD	CD molecules	471
1643	CD22	CD22 molecule	Approved		SIGLEC-2, SIGLEC2	19q13.12	X52785	NM_001771	CD	CD molecules	471
16961	CD226	CD226 molecule	Approved		DNAM-1, DNAM1, PTA1, TLiSA1	18q22.2	U56102	NM_006566	CD	CD molecules	471
1645	CD24	CD24 molecule	Approved		CD24A	6q21		NM_013230	CD	CD molecules	471
18171	CD244	CD244 molecule	Approved		2B4, NAIL, NKR2B4, Nmrk, SLAMF4	1q23.3	AF105261	NM_016382	CD	CD molecules	471
1677	CD247	CD247 molecule	Approved	CD3Z	CD3H, CD3Q	1q24.2	BC025703	NM_198053	CD	CD molecules	471
18219	CD248	CD248 molecule	Approved	CD164L1	TEM1	11q13.2	AF279142	NM_020404	CD	CD molecules	471
11922	CD27	CD27 molecule	Approved	TNFRSF7	S152, Tp55	12p13.31	M63928		CD	CD molecules	471
17635	CD274	CD274 molecule	Approved	PDCD1LG1	B7-H, B7H1, PD-L1, PDL1, B7-H1	9p24.1	AF177937	NM_014143	CD	CD molecules	471
19137	CD276	CD276 molecule	Approved		B7-H3, B7H3, B7RP-2	15q24.1	AF302102	NM_025240	CD	CD molecules	471
1653	CD28	CD28 molecule	Approved			2q33.2	J02988	NM_006139	CD	CD molecules	471
19319	CD300A	CD300a molecule	Approved		Irp60, CMRF35H, CMRF-35-H9, IRC1, IRC2, IGSF12	17q25.1	BC032352	NM_007261	CD	CD molecules	471
19320	CD300C	CD300c molecule	Approved		CMRF35, LIR, CMRF-35A, CMRF35A, IGSF16	17q25.1	BC022279	NM_006678	CD	CD molecules	471
28874	CD300E	CD300e molecule	Approved	CD300LE	IREM2, CLM2	17q25.1	BX648376	NM_181449	CD	CD molecules	471
30843	CD302	CD302 molecule	Approved		DCL-1, KIAA0022, BIMLEC, CLEC13A	2q24.2	AY314007	NM_014880	CD	CD molecules	471
16692	CD320	CD320 molecule	Approved		8D6, 8D6A	19p13.2	AF161254	NM_016579	CD	CD molecules	471
1659	CD33	CD33 molecule	Approved		SIGLEC3, SIGLEC-3, p67, FLJ00391	19q13.41	M23197	NM_001772	CD	CD molecules	471
1662	CD34	CD34 molecule	Approved			1q32.2	M81104	NM_001773	CD	CD molecules	471
1663	CD36	CD36 molecule	Approved		SCARB3, GPIV, FAT, GP4, GP3B	7q21.11	Z32770	NM_001001547	CD	CD molecules	471
1666	CD37	CD37 molecule	Approved		TSPAN26	19q13.33			CD	CD molecules	471
1667	CD38	CD38 molecule	Approved			4p15.32	D84276	NM_001775	CD	CD molecules	471
1673	CD3D	CD3d molecule	Approved	T3D		11q23.3	X01451	NM_000732	CD	CD molecules	471
1674	CD3E	CD3e molecule	Approved			11q23.3	X03884	NM_000733	CD	CD molecules	471
1675	CD3G	CD3g molecule	Approved			11q23.3	X60491	NM_000073	CD	CD molecules	471
1678	CD4	CD4 molecule	Approved			12p13.31	M35160	NM_000616	CD	CD molecules	471
11919	CD40	CD40 molecule	Approved	TNFRSF5	p50, Bp50	20q13.12	X60592	NM_001250	CD	CD molecules	471
11935	CD40LG	CD40 ligand	Approved	HIGM1, IMD3, TNFSF5	CD40L, TRAP, gp39, hCD40L, CD154	Xq26.3	X67878	NM_000074	CD	CD molecules	471
1681	CD44	CD44 molecule (Indian blood group)	Approved	MIC4, MDU2, MDU3	IN, MC56, Pgp1, CD44R, HCELL, CSPG8	11p13	M59040	NM_000610	CD	CD molecules	471
6953	CD46	CD46 molecule	Approved	MIC10, MCP	TRA2.10, MGC26544, TLX	1q32.2	BC030594	NM_172361	CD	CD molecules	471
1682	CD47	CD47 molecule	Approved	MER6	IAP, OA3	3q13.12		NM_001777	CD	CD molecules	471
1683	CD48	CD48 molecule	Approved	BCM1	BLAST, mCD48, hCD48, SLAMF2	1q23.3	BC016182	NM_001778	CD	CD molecules	471
1685	CD5	CD5 molecule	Approved	LEU1	T1	11q12.2	X04391	NM_014207	CD	CD molecules	471
